id,short_code,name,github_link,oomp_key,md5_6
electronic_header_2d54_mm_16_pin_surface_mount_right_angle,hi116psmra,Electronic Header 2D54 Mm 16 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_16_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_16_pin_surface_mount_right_angle,544a7a
electronic_header_2d54_mm_17_pin_right_angle,hi117pra,Electronic Header 2D54 Mm 17 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_17_pin_right_angle,oomp_electronic_header_2d54_mm_17_pin_right_angle,cf3669
electronic_header_2d54_mm_17_pin_surface_mount,hi117psm,Electronic Header 2D54 Mm 17 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_17_pin_surface_mount,oomp_electronic_header_2d54_mm_17_pin_surface_mount,834949
electronic_header_2d54_mm_17_pin,hi117p,Electronic Header 2D54 Mm 17 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_17_pin,oomp_electronic_header_2d54_mm_17_pin,a43e83
electronic_header_2d54_mm_17_pin_surface_mount_right_angle,hi117psmra,Electronic Header 2D54 Mm 17 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_17_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_17_pin_surface_mount_right_angle,feb2ac
electronic_header_2d54_mm_18_pin_right_angle,hi118pra,Electronic Header 2D54 Mm 18 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_18_pin_right_angle,oomp_electronic_header_2d54_mm_18_pin_right_angle,783658
electronic_header_2d54_mm_18_pin_surface_mount,hi118psm,Electronic Header 2D54 Mm 18 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_18_pin_surface_mount,oomp_electronic_header_2d54_mm_18_pin_surface_mount,176824
electronic_header_2d54_mm_18_pin,hi118p,Electronic Header 2D54 Mm 18 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_18_pin,oomp_electronic_header_2d54_mm_18_pin,10001c
electronic_header_2d54_mm_18_pin_surface_mount_right_angle,hi118psmra,Electronic Header 2D54 Mm 18 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_18_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_18_pin_surface_mount_right_angle,58287d
electronic_header_2d54_mm_19_pin_right_angle,hi119pra,Electronic Header 2D54 Mm 19 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_19_pin_right_angle,oomp_electronic_header_2d54_mm_19_pin_right_angle,88b6f8
electronic_header_2d54_mm_19_pin_surface_mount,hi119psm,Electronic Header 2D54 Mm 19 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_19_pin_surface_mount,oomp_electronic_header_2d54_mm_19_pin_surface_mount,c1517d
electronic_header_2d54_mm_19_pin,hi119p,Electronic Header 2D54 Mm 19 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_19_pin,oomp_electronic_header_2d54_mm_19_pin,7c92fc
electronic_header_2d54_mm_19_pin_surface_mount_right_angle,hi119psmra,Electronic Header 2D54 Mm 19 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_19_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_19_pin_surface_mount_right_angle,c08805
electronic_header_2d54_mm_20_pin_right_angle,hi120pra,Electronic Header 2D54 Mm 20 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_20_pin_right_angle,oomp_electronic_header_2d54_mm_20_pin_right_angle,5c192b
